1.6006,2.2758,1.6054,0.12593,-0.49364,-0.039308,0.63525,0.78769,1.0236,2.4936
1.8579,2.5578,1.595,-0.84614,-2.6384,-1.8402,0.75554,1.9008,1.145,0.60448
0.33651,1.462,1.7779,0.34857,-1.9358,-4.261,-4.1248,-0.82642,2.0318,3.0107
0.95052,0.71743,-0.94483,-2.3331,-2.1004,-1.7929,-1.157,0.34584,1.1875,1.1162
-2.0859,-1.9975,-1.2497,-0.93712,-0.58043,0.22988,0.45669,-0.60611,-1.9868,-2.9909
1.6267,0.90848,-1.2252,-4.1978,-5.4673,-4.3694,-2.3897,-0.56914,-0.14631,-0.74942
-2.7563,-2.5799,0.12585,2.7662,2.2178,-0.32379,-1.7426,-1.4032,-0.36353,-0.33982
-2.5969,-2.8819,-0.78055,2.6505,4.2792,3.9087,4.6877,5.6456,4.6068,1.805
1.5079,1.7057,-0.17208,-4.6955,-7.7345,-7.5768,-5.9929,-3.1902,-0.56732,0.452
-2.645,-2.02,-0.13883,0.99528,1.5221,2.9919,3.4083,0.88608,-1.0765,-1.0164
